Symbol,CompanyName,Sector,FirstDate,LastDate,TradingDays,MaxHigh,MinLow,LatestClose,TotalVolume,TotalValue
GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,Microfinance,2024-12-03,2025-12-03,226,1441.6,1131.9,1271.0,1089433,1419816857.6
GLBSL,Gurans Laghubitta Bittiya Sanstha Ltd,Microfinance,2024-12-03,2025-12-03,226,3486.0,1912.0,1990.0,1082487,2775465234.0
GLH,Greenlife Hydropower Limited,Hydro Power,2024-12-03,2025-12-03,226,306.3,227.4,253.2,19854012,5318816025.63
GMFBS,Ganapati Laghubitta Bittiya Sanstha Ltd,Microfinance,2024-12-03,2025-12-03,226,1980.0,1395.0,1550.0,561232,969907347.5
GMFIL,Guheswori Merchant Banking & Finance Ltd.,Finance,2024-12-03,2025-12-03,226,680.3,393.1,504.0,5431306,2774057833.2
GMLI,GUARDIAN MICRO LIFE INSURANCE LIMITED,Life Insurance,2025-02-09,2025-12-03,184,2778.0,301.0,1835.0,5031174,11070885167.9
GRDBL,Green Development Bank Ltd.,Development Banks,2024-12-03,2025-12-03,226,2001.4,822.0,1184.0,7195321,9379085144.6
GRU,Gorakhkali Rubber Udhyog Limited,Manufacturing And Processing,2024-12-03,2025-12-03,226,38.0,38.0,38.0,0,0.0
GUFL,Gurkhas Finance Ltd.,Finance,2024-12-03,2025-12-03,226,792.0,460.6,515.0,3692934,2213048984.81
GVL,Green Ventures Limited,Hydro Power,2024-12-03,2025-12-03,226,662.0,424.0,528.1,16230270,8807821926.5
GWFD83,Goodwill Finance Limited,Finance,2024-12-03,2025-12-03,226,1464.8,1090.0,1182.0,20757,25211402.0
H8020,Himalayan Bank Limited,Commercial Banks,2024-12-03,2025-12-03,226,12.21,9.67,10.65,18863608,205671879.5
HATHY,HATHWAY INVESTMENT NEPAL LIMITED,Investment,2024-12-03,2025-12-03,226,1600.0,884.0,914.5,5413949,7175574013.38
HBL,Himalayan Bank Limited,Commercial Banks,2024-12-03,2025-12-03,226,261.4,184.0,190.6,17575715,3949179622.37
HBLD83,Himalayan Bank Limited,Commercial Banks,2024-12-03,2025-12-03,226,1111.0,1047.0,1067.0,1276,1382975.6
HBLD86,Himalayan Bank Limited,Commercial Banks,2024-12-03,2025-12-03,226,1201.0,1093.6,1177.0,9245,10531713.3
HBT,Harisiddhi Brick And Tiles Limited,Manufacturing And Processing,2024-12-03,2025-12-03,226,4.0,4.0,4.0,0,0.0
HDHPC,Himal Dolakha Hydropower Com. Ltd.,Hydro Power,2024-12-03,2025-12-03,226,225.9,162.0,181.8,35693225,7248926587.06
HDL,Himalayan Distillery Limited,Manufacturing And Processing,2024-12-03,2025-12-03,226,1556.1,1103.0,1170.0,18155348,23995132247.55
HEI,Himalayan Everest Insurance Limited,Non Life Insurance,2024-12-03,2025-12-03,226,710.0,458.0,497.9,4343008,2628034338.6
HFL,Himalayan Finance Limited (Bittiya Sanstha),Finance,2024-12-03,2025-12-03,226,18.0,18.0,18.0,0,0.0
HHL,Himalayan Hydropower Limited,Hydro Power,2024-12-03,2025-12-03,226,635.0,310.7,339.1,9094823,4021021598.14
HIDCL,Hydorelectricity Investment and Development Company Ltd,Investment,2024-12-03,2025-12-03,226,340.0,225.4,269.0,66951980,19698121833.91
HIMSTAR,Himstar Urja Company Ltd.,Hydro Power,2025-08-31,2025-12-03,50,1035.0,0.0,1020.0,911010,692031347.6
