Symbol,CompanyName,Sector,Date,High,Low,Close,Volume,Value_NPR,Trades
CGH,Chandragiri Hills Limited,Hotels And Tourism,2024-12-10,942.4,918.0,922.0,16448,15197168.1,203
CGH,Chandragiri Hills Limited,Hotels And Tourism,2024-12-11,935.0,921.0,933.0,7753,7174637.0,131
CGH,Chandragiri Hills Limited,Hotels And Tourism,2024-12-12,948.0,917.2,919.0,23893,22196487.2,220
CGH,Chandragiri Hills Limited,Hotels And Tourism,2024-12-16,924.0,910.0,912.0,21295,19445011.0,203
CGH,Chandragiri Hills Limited,Hotels And Tourism,2024-12-17,925.0,907.0,914.0,10635,9726614.8,138
CGH,Chandragiri Hills Limited,Hotels And Tourism,2024-12-18,925.0,911.0,912.2,9664,8835460.7,115
CGH,Chandragiri Hills Limited,Hotels And Tourism,2024-12-19,930.0,905.1,905.1,24632,22463900.5,205
CGH,Chandragiri Hills Limited,Hotels And Tourism,2024-12-22,915.0,903.2,907.0,20392,18498732.7,170
CGH,Chandragiri Hills Limited,Hotels And Tourism,2024-12-23,925.1,905.0,910.0,11288,10265866.6,121
CGH,Chandragiri Hills Limited,Hotels And Tourism,2024-12-24,925.0,900.0,918.0,15444,14159296.7,158
CGH,Chandragiri Hills Limited,Hotels And Tourism,2024-12-26,918.0,905.3,905.4,17207,15650293.1,183
CGH,Chandragiri Hills Limited,Hotels And Tourism,2024-12-29,913.5,900.0,900.0,17732,16039602.7,193
CGH,Chandragiri Hills Limited,Hotels And Tourism,2024-12-31,904.9,882.1,889.0,19880,17754715.1,286
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-01-01,895.0,882.0,884.0,8315,7370157.3,156
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-01-02,890.0,880.0,887.4,17446,15444890.0,211
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-01-05,904.0,880.0,902.0,11438,10238695.8,164
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-01-06,919.9,897.0,917.9,14747,13400575.0,182
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-01-07,924.0,907.0,914.0,11281,10330320.3,155
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-01-08,912.5,906.0,907.0,10005,9105114.7,145
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-01-09,922.0,901.0,908.9,24281,22064259.3,234
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-01-12,909.8,885.0,892.0,19425,17384686.2,186
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-01-13,899.0,876.6,883.0,30472,26950424.8,311
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-01-15,900.0,878.0,880.0,13320,11788324.4,164
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-01-16,890.0,870.0,877.0,18731,16420904.8,203
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-01-19,900.0,876.5,890.0,23070,20441154.8,192
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-01-20,899.4,880.0,883.0,20978,18563990.5,195
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-01-21,895.0,876.2,887.0,12701,11269420.8,137
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-01-22,920.0,887.0,906.0,37848,34393946.0,404
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-01-23,924.1,890.0,899.9,18932,17012474.5,239
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-01-26,902.0,889.3,894.0,21984,19612783.0,190
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-01-27,910.0,892.0,893.9,17117,15312982.5,119
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-01-28,899.0,881.5,892.0,31842,28308667.3,277
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-02-02,915.0,893.2,913.0,39058,35416628.8,327
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-02-03,922.0,905.1,918.0,36721,33626615.7,320
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-02-04,936.3,895.1,897.0,37507,33921434.3,333
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-02-05,910.9,897.0,900.0,23622,21287729.6,219
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-02-06,914.0,890.0,894.0,26144,23427249.3,245
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-02-09,908.0,889.8,892.0,36431,32545145.5,264
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-02-10,910.4,875.1,887.0,23188,20622230.5,206
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-02-11,920.0,869.3,885.0,20643,18341420.7,222
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-02-12,890.0,880.0,885.0,31963,28246480.1,304
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-02-13,900.0,880.1,884.0,21333,18871655.8,204
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-02-16,892.0,883.0,888.0,17754,15777481.0,221
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-02-17,904.5,885.0,894.0,35134,31464381.5,358
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-02-18,901.0,885.0,885.0,56068,50014698.5,389
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-02-20,892.0,885.0,885.3,21315,18923629.6,212
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-02-23,894.0,877.0,886.7,39276,34775680.3,333
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-02-24,904.0,888.1,890.1,24754,22190301.3,279
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-02-25,899.7,890.0,893.9,18708,16731142.6,212
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-02-27,935.0,896.0,931.0,75535,69212052.6,646
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-03-02,967.8,940.0,967.8,66953,63994450.7,664
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-03-03,981.5,941.0,941.0,49542,47409525.2,536
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-03-04,955.0,921.0,924.0,53291,50045566.2,503
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-03-05,932.0,911.1,917.0,37899,34859946.1,363
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-03-06,935.3,910.0,915.0,39755,36466510.8,284
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-03-09,924.0,894.1,897.0,41351,37472513.6,414
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-03-10,910.0,890.1,898.0,24762,22271079.9,279
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-03-11,903.0,885.0,885.0,26776,23882376.5,291
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-03-12,900.0,885.0,897.0,19047,17018886.0,175
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-03-16,914.9,890.0,892.5,19318,17317584.5,225
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-03-17,900.0,887.0,888.4,16286,14525770.4,166
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-03-18,904.0,887.0,890.0,14530,12927619.4,156
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-03-19,899.8,885.3,886.0,16501,14659826.7,170
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-03-20,895.0,880.5,886.71,16164,14331408.4,181
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-03-23,887.0,870.0,871.3,25260,22147205.0,285
